,,Machines,Sigma 688 / Alpha 488,Alpha 550 / Alpha 433,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,SKM DCPC Crimp (Crimp and Ass),Connector Assembly Station,Wire Rolling & Taping Station,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,"ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13",ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,SKM Seal and outer Housing Assembly DCC,SKM Seal and outer Housing Assembly DCC,,TSK T1500,TSK T1500,TSK T1500,Cutting Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,6 Wire Jacket 2xDCC Modul 85F263A,,,,,,,11.25,,,,,12,,,5.44,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.16,2.07
121,"4 Wire Jacket 2xDCC Modul 85F265_,A",,,,,7.06,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,17.91,,,,,,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.91,1.93
122,4 Wire Jacket 2xDCC Modul 85F266_,,,,,7.06,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,17.91,,,,,,,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.91,1.93
123,"Twisted Wires 1xDCC Modul 85F265_,A",,6.68,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.87,0.88
124,Twisted Wires 1xDCC Modul 85F266,,6.68,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.87,0.88
125,Twisted Wires 1xDCC Modul 85F265_,,6.81,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.07,0.97
126,"Twisted Wires 1xDCC Modul 85F265A,266",,6.81,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0.88
127,4 Wire Jacket 1xDCC Modul 4MN251,,,,,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.74,0.78
128,2 Wire Jacket 1xDCC Modul 4MN252,,,,6.85,,,,,,,,,,,,,,,10.44,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,0.93
129,Twisted Wires 1xDCC Modul 4MN253,,6.91,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.58,0.99
130,Twisted Wires 1xDCC Modul 4MN254,,7.45,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.12,1
131,4 Wire Jacket 1xDCC Modul 7T0903S,,,,,7.49,,,,,,8.12,,,,,13.4,,,,14.08,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.17,1.32
132,4 Wire Jacket 1xDCC Modul 7T0903S,,,,,,,8.34,,,,,12,,,5.44,13.4,,,,14.08,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.34,1.49
133,Twisted Wires 1xDCC Modul 7T0902N,,6.53,,,,,,,,,,,,,,,,,,,,,,9.38,,,,,,,,8.09,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.79,0.96
134,Twisted Wires 1xDCC Modul 7T0902Q,,6.53,,,,,,,,,,,,,,,,,,,,,,9.38,,,,,,,,8.09,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.79,0.96
135,4 Wire Jacket 1xDCC Modul 2F0903A,,,,,8.39,,,,,,8.12,,,,,,,,10.44,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.03,1.05
136,6 Wire Jacket 1xDCC Modul 2F0903C,,,,,,,7.67,,,,,12,,,5.44,,,,10.44,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.63,1.19
137,2 Wire Jacket 1xDCC Modul 2F0903E,,,,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.88,0.58
138,Twisted Wires 1xDCC Modul 2F0902D,,6.94,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.75,0.91
139,Twisted Wires 1xDCC Modul 2F0902F,,6.94,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.75,0.91
140,"Twisted Wires 1xDCC Modul 2F0902E,G",,7.14,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.81,1
141,Twisted Wires 1xDCC Modul 2F0902E,,7.02,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.83,0.91
142,Twisted Wires 1xDCC Modul 2F0902G,,7.02,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.83,0.91
143,4 Wire Jacket 1xDCC Modul 5WA903A,,,,,6.7,,,,,,8.12,,,,,,,9.04,,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.94,1
144,6 Wire Jacket 1xDCC Modul 5WA903E,,,,,,,7.38,,,,,12,,,5.44,,,,10.44,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.34,1.19
145,"6 Wire Jacket 2xDCC Modul 5QS903_,3WA903B",,,,,,,7.12,,,,,12,,,5.44,13.4,,,20.88,,,,,,,,,,,,20,,,,,,,,,32.58,,,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,2.18
146,8 Wire Jacket 2xDCC Modul 3WA903F,,,,,,,,,7.03,,,,16,,9.93,,,9.04,10.44,,,,,,,,,,,,20,,,,,,,,,32.58,,,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.6,2.08
147,8 Wire Jacket 2xDCC Modul 5QS903F,,,,,,,,,7.45,,,,16,,9.93,,,9.04,10.44,,,,,,,,,,,,20,,,,,,,,,32.58,,,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.02,2.08
148,8 Wire Jacket 2xDCC Modul 5QS903H,,,,,,,,,7.44,,,,16,,9.93,,,9.04,10.44,,,,,,,,,,,,20,,,,,,,,,32.58,,,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.01,2.08
149,4 Wire Jacket 1xDCC Modul 5TA903M,,,,,9.82,,,,,,8.12,,,,,,,9.04,,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.06,1.05
150,6 Wire Jacket 1xDCC Modul 5TA903AF,,,,,,,7.01,,,,,12,,,5.44,,,,10.44,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.97,1.18
151,4 Wire Jacket 1xDCC Modul 5G0903AL,,,,,9.82,,,,,,8.12,,,,,,,9.04,,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.06,1.05
152,6 Wire Jacket 1xDCC Modul 5G0903AM,,,,,,,7.01,,,,,12,,,5.44,,,,10.44,,,,,,,,,,,,10,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.97,1.18
153,Twisted Wires DCC1 Modul 3WA902P,,8.88,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,1.13
154,Twisted Wires DCC1 Modul 3WA902R,,8.88,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,1.13
155,Twisted Wires DCC1 Modul 3WA902Q,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.42,1.12
156,Twisted Wires DCC1 Modul 3WA902S,,8.85,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.47,1.12
157,Twisted Wires DCC2 Modul 3WA902P,,8.84,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,1
158,Twisted Wires DCC2 Modul 3WA902R,,8.85,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.11,1
159,Twisted Wires DCC2 Modul 3WA902Q,,8.77,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.03,1
160,Twisted Wires DCC2 Modul 3WA902S,,8.81,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.07,1
161,Twisted Wires DCC1 Modul 5QS902S,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.92,1.13
162,Twisted Wires DCC1 Modul 5QS902AA,,9.26,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.88,1.13
163,"Twisted Wires DCC1 Modul 5QS902AC,AE",,9.62,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.24,1.14
164,Twisted Wires DCC2 Modul 5QS902S,,9.26,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.52,1.01
165,Twisted Wires DCC2 Modul 5QS902AA,,9.21,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.47,1.01
166,"Twisted Wires DCC2 Modul 5QS902AC,AE",,9.58,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.84,1.01
167,Twisted Wires 1xDCC Modul 5WA902 AJ,,9.04,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.22,1.09
168,Twisted Wires 1xDCC Modul 5WA902 AK,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.72,1.13
169,Twisted Wires 1xDCC Modul 5WA902 AL,,9.07,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.69,1.13
170,Twisted Wires 1xDCC Modul 5WA902 AQ,,9.04,,,,,,,,,,,,,,,,,,,,,,,,18.36,,,,,,8.09,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.66,1.13
